value_id,manuscript_location,reported_value,units,canonical_source,source_locator,derivation,generator_code,manuscript_fragment,manuscript_match,status
roof_length,Methods 2.1,8,m,config/production.yaml,roof.length_m,Direct configured model dimension.,src/graded_roof/manuscript.py:build_manuscript,"An 8 m long, 1 m wide roof",True,PASS
roof_width,Methods 2.1,1,m,config/production.yaml,roof.width_m,Direct configured unit-width model dimension.,src/graded_roof/manuscript.py:build_manuscript,"An 8 m long, 1 m wide roof",True,PASS
roof_cells,Methods 2.1,24,cells,config/production.yaml,roof.cells,Direct configured spatial resolution.,src/graded_roof/manuscript.py:build_manuscript,represented by 24 ridge-to-eave cells,True,PASS
synthetic_winter_count,Methods 2.3,3,scenarios,config/production.yaml,synthetic_weather.scenarios,Count of configured deterministic synthetic winters.,src/graded_roof/manuscript.py:build_manuscript,Primary optimization used 3 deterministic synthetic winters,True,PASS
jma_station_count,Methods 2.3,4,stations,config/production.yaml,jma.stations,Count of configured JMA stations.,src/graded_roof/manuscript.py:build_manuscript,for 4 stations and 3 winters,True,PASS
jma_winter_count,Methods 2.3,3,winters,config/production.yaml,jma.winters,Count of configured JMA winters.,src/graded_roof/manuscript.py:build_manuscript,for 4 stations and 3 winters,True,PASS
uniform_grid,Methods 2.4,30 x 30 x 7,grid levels,config/production.yaml,optimizer.uniform_*_grid,Configured slope by friction by adhesion enumeration.,src/graded_roof/manuscript.py:build_manuscript,A full 30 x 30 x 7 uniform slope-friction-adhesion map,True,PASS
profile_control_points,Methods 2.4,4,control points,config/production.yaml,optimizer.profile_control_points,Direct configured heterogeneous-profile parameterization.,src/graded_roof/manuscript.py:build_manuscript,parameterized by 4 control points,True,PASS
optimizer_population,Methods 2.4,48,individuals,config/production.yaml,optimizer.population,Direct configured NSGA-II population.,src/graded_roof/manuscript.py:build_manuscript,"population of 48, 45 generations",True,PASS
optimizer_generations,Methods 2.4,45,generations,config/production.yaml,optimizer.generations,Direct configured NSGA-II generations.,src/graded_roof/manuscript.py:build_manuscript,"population of 48, 45 generations",True,PASS
optimizer_seeds,Methods 2.4,"1701, 2903, 4517",seed identifiers,config/production.yaml,optimizer.seeds,Direct configured NSGA-II seeds.,src/graded_roof/manuscript.py:build_manuscript,"seeds 1701, 2903, 4517",True,PASS
hypervolume_reference_margin,Methods 2.4,105,%,results/generated/final_revision_frontier_metric_sensitivity.csv,reference_margin=1.05,Common reference equals 105% of joint objective maxima.,scripts/run_final_revision_analyses.py:stage_frontier,reference at 105% of the joint objective maxima,True,PASS
production_timestep,Methods 2.4; Results 3.1,0.5,h,config/production.yaml,simulation.dt_hours,Frozen production interval.,src/graded_roof/manuscript.py:build_manuscript,Production used a 0.5-h timestep,True,PASS
post_freeze_timestep,Methods 2.4; Results 3.1,0.25,h,config/production.yaml,convergence.post_freeze_reference_dt_hours,Targeted reevaluation interval without reoptimization.,src/graded_roof/manuscript.py:build_manuscript,targeted 0.25-h,True,PASS
