reported_quantity,canonical_source,derivation,manuscript_location,status
retention baseline Lmax and Smax,results/generated/baseline_aggregate.csv,retention_non_shedding aggregate row,Abstract and Results 3.1,verified
shedding baseline Lmax and Smax,results/generated/baseline_aggregate.csv,conventional_shedding aggregate row,Results 3.1,verified
convergence pass count and production-timestep qualification,results/generated/convergence.csv; results/generated/final_revision_selected_design_timestep_audit.csv,frozen four-metric tolerance and selected-design timestep evaluation,Results 3.1 and Figure 6,verified
frontier design-row and unique-pair counts,results/generated/final_revision_frontier_summary.csv,six-decimal objective-pair deduplication by design class,Results 3.2-3.3 and Table 1,verified
normalized hypervolume,results/generated/final_revision_frontier_metric_sensitivity.csv,zero-origin common bounds with 1.05 reference margin,Results 3.3 and Table 1,verified
additive epsilon versus uniform,results/generated/final_revision_frontier_summary.csv,common-minmax normalized front comparison,Results 3.3 and Table 1,verified
front-specific descriptive knees,results/generated/final_revision_knee_audit.csv,front_specific_minmax normalized-distance selection,Results 3.3 and Table 1,verified
matched objective-cap results,results/generated/final_revision_matched_tradeoffs.csv,prespecified Smax caps evaluated on deduplicated fronts,Results 3.3,verified
selected continuous and mapped profiles,tables/generated/table_2_selected_profile.csv,cellwise continuous design and deterministic generic mapping,Table 2 and Figure 4,verified
continuous-to-discrete mapping losses,results/generated/final_revision_discretization_loss.csv; tables/generated/table_3_discretization.csv,mapped minus continuous modeled outcomes in absolute and percentage units,Results 3.5 and Table 3,verified
strategy phase diagram,tables/generated/table_4_strategy_phase_diagram.csv,frozen snowfall penalty labor and allowable-release scenario grid,Figure 9 and Table 4,verified
labor-scarcity selections,tables/generated/table_5_labor_scarcity.csv,frozen intervention-weight decision scenarios,Figure 9 and Table 5,verified
constructability outcomes,tables/generated/table_6_complexity_analysis.csv; results/generated/final_revision_constraint_enforcement.csv,post hoc segment transition and adjacent-slope checks,Results 3.5 and Table 6,verified
transition-penalty selections,tables/generated/table_7_complexity_penalty.csv,minimum normalized objectives plus frozen transition penalties,Results 3.5 and Table 7,verified
robust Q95 outcomes and selection ties,results/generated/final_revision_robustness_candidate_audit.csv; results/generated/final_revision_robust_selection_ties.csv,250 paired deterministic perturbation draws and explicit minimum-score tie set,Results 3.4 Figure 8 and Table 8,verified
objective-equivalent robustness ranges,results/generated/final_revision_objective_equivalent_robustness.csv,within-group Q95 and intervention-probability ranges,Results 3.4,verified
JMA station-winter outcomes,results/generated/final_revision_jma_paired_tradeoffs.csv,paired uniform and joint evaluation for each station-winter,Results 3.6 and Table 9,verified
sensitivity relative changes,results/generated/sensitivity.csv,prespecified one-at-a-time factors relative to baseline,Figure 7,verified
weather scenario summaries,data/processed/synthetic/manifest.json; data/processed/jma_daily_observations.csv,deterministic synthetic forcing and parsed immutable JMA snapshots,Methods 2.3 and Figure 2,verified
