record_id,authors,year,title,journal_or_publisher,volume,issue,pages_or_article_number,doi_or_identifier,official_url,evidence_role,claim_supported,transfer_limit,snapshot_title,title_verification_status,year_matches_snapshot,source_local_status,source_path,source_sha256
CRST01,Giever PM; Sack RL,1990,Similitude considerations for roof snow loads,Cold Regions Science and Technology,19,1,59-71,10.1016/0165-232X(90)90018-R,https://doi.org/10.1016/0165-232X(90)90018-R,roof-load methods,Laboratory roof-snow loads require explicit similitude for prototype interpretation.,The retained source does not supply a universal scaling rule for this model.,Similitude considerations for roof snow loads,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst01.json,09137a992dd45e7e9f52ac600baa875aae36dd2bc821605fc3fb94146a6ff89d
CRST02,Thiis TK; Gjessing Y,1999,Large-scale measurements of snowdrifts around flat-roofed and single-pitch-roofed buildings,Cold Regions Science and Technology,30,1-3,175-181,10.1016/S0165-232X(99)00021-X,https://doi.org/10.1016/S0165-232X(99)00021-X,roof deposition,Roof geometry and wind orientation materially changed surrounding snowdrift size in same-footprint models.,Drift observations do not validate the present sliding model.,Large-scale measurements of snowdrifts around flat-roofed and single-pitch-roofed buildings,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst02.json,36dfe7de103395dd61e5c57d5c1edc972fb5d87fc6a17af84d7b6c5e898976ba
CRST03,Zhou X; Kang L; Yuan X; Gu M,2016,Wind tunnel test of snow redistribution on flat roofs,Cold Regions Science and Technology,127,,49-56,10.1016/j.coldregions.2016.04.006,https://doi.org/10.1016/j.coldregions.2016.04.006,roof deposition,"Wind-tunnel tests found nonuniform flat-roof deposition and transport dependent on wind velocity, span, and duration.",Silica-sand redistribution is not direct roof-snow shedding validation.,Wind tunnel test of snow redistribution on flat roofs,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst03.json,eb8a99845062632a845dcfeafe5c13e6b5202028241a0b2394e039ddfe7d50c5
CRST04,Tominaga Y,2018,Computational fluid dynamics simulation of snowdrift around buildings: Past achievements and future perspectives,Cold Regions Science and Technology,150,,2-14,10.1016/j.coldregions.2017.05.004,https://doi.org/10.1016/j.coldregions.2017.05.004,model validation,"Building snow simulations require empirical validation, validation databases, and explicit limitations.",Review guidance does not validate any specific parameter in this study.,Computational fluid dynamics simulation of snowdrift around buildings: Past achievements and future perspectives,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst04.json,2f7a9228273a3c6bed1efc35e11615ee1b42ba1c2c6277bb6a843fad8deee331
CRST05,Sun X; He R; Wu Y,2018,Numerical simulation of snowdrift on a membrane roof and the mechanical performance under snow loads,Cold Regions Science and Technology,150,,15-24,10.1016/j.coldregions.2017.09.007,https://doi.org/10.1016/j.coldregions.2017.09.007,nonuniform load,A validated deposition workflow coupled nonuniform snow distributions to structural analysis and compared them with uniform loading.,This study does not model passive shedding or graded surfaces.,Numerical simulation of snowdrift on a membrane roof and the mechanical performance under snow loads,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst05.json,453f874bdf6ef39ef107c9450c0a9a2ac4dcda9ada40d34c75778269f3b0b10f
CRST06,Zhang G; Zhang Q; Fan F; Shen S,2021,Numerical simulations of development of snowdrifts on long-span spherical roofs,Cold Regions Science and Technology,182,,103211,10.1016/j.coldregions.2020.103211,https://doi.org/10.1016/j.coldregions.2020.103211,roof deposition,"A multiphase model reproduced balanced, unbalanced, and transitional roof-snow distributions and edge slipping.",Different roof geometry and deposition physics limit direct parameter transfer.,Numerical simulations of development of snowdrifts on long-span spherical roofs,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst06.json,d7250d522e5620fb5fb1c6bff6cd0bef4e5d57e09db2a5bcc49f890f0c9c3031
CRST07,Pawluk RE; Rezvanpour M; Chen Y; She Y,2021,A sensitivity analysis on effective parameters for sliding/melting prediction of snow cover on solar photovoltaic panels,Cold Regions Science and Technology,185,,103262,10.1016/j.coldregions.2021.103262,https://doi.org/10.1016/j.coldregions.2021.103262,adjacent sliding evidence,Snow transmittance and transmitted solar radiation improved inclined-PV snow clearing predictions.,"Photovoltaic panels are an adjacent surface, not general roof-system validation.",A sensitivity analysis on effective parameters for sliding/melting prediction of snow cover on solar photovoltaic panels,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst07.json,70c00f626cbdad6b98d05a74528db4e7d86d0d40b2893665b2a0906bfd17a229
CRST08,Zhang B; Zhang Q; Mo H; Fan F; Lehning M,2022,Considering snow depositions and transport mechanisms in meteorological analysis of predicting snow loads on buildings,Cold Regions Science and Technology,201,,103614,10.1016/j.coldregions.2022.103614,https://doi.org/10.1016/j.coldregions.2022.103614,weather forcing,Precipitation-only estimates omit joint snowfall-wind deposition and transport mechanisms.,The present proof-of-concept omits wind redistribution and must state that limitation.,Considering snow depositions and transport mechanisms in meteorological analysis of predicting snow loads on buildings,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst08.json,5e0488102cf707a81fcad7c5a6a670509b9963faf392f545215488815a84f78e
CRST09,Zhou X; Zhang T; Liu Z; Gu M,2023,A study of snow drifting on monoslope roofs during snowfall: Wind tunnel test and numerical simulation,Cold Regions Science and Technology,206,,103731,10.1016/j.coldregions.2022.103731,https://doi.org/10.1016/j.coldregions.2022.103731,slope effects,Monoslope tests separated lower-slope from higher-slope drift behavior and found strong approach-velocity effects.,Deposition trends are not direct friction or shedding coefficients.,A study of snow drifting on monoslope roofs during snowfall: Wind tunnel test and numerical simulation,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst09.json,da050ae41c328bff197d09234979418d47d2fffa49eab1f8f559a868ce1f20bb
CRST10,Zou J; Sun X; Zhou H,2023,Sensitivity analysis and practical application of an automatic snow-melting membrane roof,Cold Regions Science and Technology,206,,103754,10.1016/j.coldregions.2022.103754,https://doi.org/10.1016/j.coldregions.2022.103754,active comparator,An electrical-thermal membrane-roof model evaluated heating and weather controls.,"Active melting is contextual comparison only, not passive-control evidence.",Sensitivity analysis and practical application of an automatic snow-melting membrane roof,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst10.json,643f43560e8c36d67ff667a2faf331d115d91b448f3742180c2ced098a8525af
CRST11,Tominaga Y; Igarashi K; Wakui M; Motoyoshi H; Ito Y,2025,Measurement and estimation of temporal variations of roof snow load on semi-full-scale building model,Cold Regions Science and Technology,232,,104445,10.1016/j.coldregions.2025.104445,https://doi.org/10.1016/j.coldregions.2025.104445,field validation target,"Load cells, drainage, meteorology, and ground snow measurements formed a roof-load validation dataset.",The current study has not calibrated against these measurements.,Measurement and estimation of temporal variations of roof snow load on semi-full-scale building model,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst11.json,360e6a7336618f55d8d96d621dfaded36b35825c9466b5f3ae7d9ce9511c9ff8
CRST12,Fasani D; Cernuschi F; Wolfsperger F; Balordi M; Colombo LPM,2026,Shear and tensile adhesion of dry and wet snow on metallic surfaces,Cold Regions Science and Technology,249,,104971,10.1016/j.coldregions.2026.104971,https://doi.org/10.1016/j.coldregions.2026.104971,interface mechanics,Snow liquid-water content and metallic-surface roughness strongly affected shear and tensile adhesion.,Material-interface evidence is not a roof-system parameter set.,Shear and tensile adhesion of dry and wet snow on metallic surfaces,exact,True,verified,data/raw/published_sources/20260924T103000Z/crst12.json,57e913a6f302d9bc90870a86ebc9dd34f77b05e777b3bb5890130d69abea06fe
